description_zh,energy_kcal,protein_g,fat_g,carbohydrate_g,fiber_total_dietary_g,sugars_g,fe_mg,na_mg,serving_size_g,description_en,source
伏特加汤力水,84.0,0.0,0.0,6.57,0.0,6.57,0.02,9.0,225.0,Vodka and tonic,fndd
伏特加能量饮料,90.0,0.35,0.0,7.7,0.0,7.69,0.06,30.0,225.0,Vodka and energy drink,fndd
伏特加苏打水,59.0,0.0,0.0,0.0,0.0,0.0,0.02,16.0,225.0,Vodka and soda,fndd
低卡卷饼,272.0,10.75,2.42,51.88,2.2,4.62,3.91,602.0,28.0,"Roll, diet",fndd
低卡运动饮料,8.0,0.05,0.01,1.3399999999999999,0.0,1.3,0.0,44.0,460.0,"Sports drink, low calorie",fndd
低水分部分脱脂马苏里拉奶酪,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Cholesterol, Mozzarella cheese, low-moisture, part-skim, store brand, GREAT VALUE & SHOP RITE (AL,CT) - NFY120DLQ",foundation
低热量高纤维面包,207.0,8.7,2.5,44.3,9.7,4.76,3.19,479.0,26.5,"Bread, reduced calorie and/or high fiber, white or NFS",fndd
低糖热巧克力,56.0,3.05,0.25,10.45,0.0,9.44,0.0,52.0,248.0,"Hot chocolate / cocoa, reduced sugar, made with lowfat (1%) or fat free (skim) milk",fndd
低糖脱脂巧克力牛奶,49.0,3.18,0.19,8.64,0.0,8.0,0.0,48.0,248.0,"Chocolate milk, reduced sugar, fat free (skim)",fndd
低糖花生酱,650.0,24.8,54.89,14.23,7.8,6.35,2.84,292.0,24.0,"Peanut butter, lower sugar",fndd
低脂低水分部分脱脂马苏里拉奶酪,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Fatty Acids, Mozzarella cheese, low-moisture, part-skim, store brand, HYVEE & PUBLIX (FL,MO) - NFY120DM7",foundation
低脂低水分马苏里拉奶酪,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Fatty Acids, Mozzarella cheese, low-moisture, part-skim, KRAFT (MI,OK) - NFY120DKE",foundation
低脂巧克力牛奶,64.0,3.46,1.11,10.15,0.1,9.94,0.23,65.0,248.0,"Chocolate milk, low fat (1%)",fndd
低脂无盐玉米片,416.0,11.0,5.7,80.1,5.3,0.85,1.6,15.0,30.0,"Tortilla chips, low fat, unsalted",fndd
低脂橄榄油蛋黄酱,361.0,0.37,40.0,0.0,0.0,0.0,0.0,800.0,14.0,"Mayonnaise, reduced fat,  with olive oil",fndd
低脂牛奶味酸奶（非水果口味）,82.0,4.51,1.36,13.02,0.0,13.04,0.07,61.0,170.0,"Yogurt, low fat milk, flavors other than fruit",fndd
低脂牛奶水果酸奶,93.0,4.57,1.34,15.69,0.2,12.84,0.14,65.0,170.0,"Yogurt, low fat milk, fruit",fndd
低脂牛奶酸奶，原味,63.0,5.25,1.55,7.04,0.0,7.04,0.08,70.0,170.0,"Yogurt, low fat milk, plain",fndd
低脂牛奶（1%）,43.0,3.38,1.0066666666666666,5.18,0.0,4.96,0.0,38.5,152.5,"MILK, 1%",foundation
低脂牛奶（2%）,50.0,3.36,1.9,4.9,0.0,4.89,0.0,39.0,190.25,"MILK, 2% (WAVE 22E)",foundation
低脂猪肉香肠,267.0,20.94,20.32,0.15,0.0,0.0,1.91,698.0,35.0,"Pork sausage, reduced fat",fndd
低脂萨拉米肠,172.0,19.2,9.21,1.55,0.1,1.12,1.25,1107.0,56.0,"Salami, made from any type of meat, reduced fat",fndd
低脂谷物棒,408.0,4.17,8.33,79.17,4.2,29.17,1.5,313.0,24.0,"Cereal or granola bar, lowfat, NFS",fndd
低脂轻度咸味薯片,502.0,4.56,26.14,64.76,3.2,0.63,1.11,450.0,26.5,"Potato chips, restructured, reduced fat, lightly salted",fndd
低脂黄油牛奶,0.0,3.464978,1.0905,4.811522,0.0,0.0,0.01325,90.42,0.0,"Buttermilk, low fat",foundation
低钠低糖花生酱,624.0,23.5,53.12,18.27,6.4,8.42,2.29,154.0,24.0,"Peanut butter, lower sodium and lower sugar",fndd
低钠午餐肉,293.0,12.5,25.1,3.4,0.0,0.0,0.64,1036.0,57.0,"Spam, reduced sodium",fndd
低钠即食爆米花,486.0,10.27,23.44,61.73,11.5,0.69,2.53,313.0,28.0,"Popcorn, ready-to-eat, low sodium",fndd
低钠意面酱,51.0,1.41,1.48,8.06,1.8,5.5,0.78,30.0,162.5,"Spaghetti sauce, reduced sodium",fndd
低钠火鸡午餐肉（预制或熟食店）,106.0,14.81,3.77,2.2,0.0,0.91,0.42,610.0,56.0,"Turkey, prepackaged or deli, luncheon meat, reduced sodium",fndd
低钠火鸡培根，熟制,253.0,13.33,20.0,4.8,0.0,0.0,0.72,900.0,15.0,"Turkey bacon, reduced sodium, cooked",fndd
低钠火鸡或鸡肉香肠,230.0,20.03,10.7,13.32,0.0,0.76,1.21,417.0,31.675,"Turkey or chicken sausage, reduced sodium",fndd
低钠照烧酱,89.0,5.93,0.02,15.58,0.1,14.1,1.7,1778.0,16.0,"Teriyaki sauce, reduced sodium",fndd
低钠猪肉香肠,233.0,19.93,11.13,13.25,0.0,0.75,1.2,415.0,35.0,"Pork sausage, reduced sodium",fndd
低钠番茄酱,101.0,1.04,0.1,27.4,0.3,21.27,0.35,20.0,17.0,"Ketchup, reduced sodium",fndd
低钠罐装白豆,211.0,10.43,6.06,29.76,6.9,2.0,2.23,251.0,138.5,"White beans, from canned, reduced sodium",fndd
低钠罐装豆汤,47.0,2.45,0.68,8.12,2.7,1.09,0.56,187.0,347.5,"Soup, bean, canned, reduced sodium",fndd
低钠罐装鸡肉汤,34.0,2.02,0.72,4.87,0.9,1.23,0.16,190.0,342.5,"Soup, chicken, canned, reduced sodium",fndd
低钠花生酱,598.0,22.21,51.36,22.31,5.0,10.49,1.74,17.0,32.0,"Peanut butter, lower sodium",fndd
低钠萨拉米肠,378.0,21.07,31.65,0.72,0.0,0.26,1.36,1317.0,56.0,"Salami, made from any type of meat, reduced sodium",fndd
低钠蔬菜罐头汤,38.0,1.12,0.4,7.63,1.2,0.95,0.24,183.0,342.5,"Soup, vegetable, canned, reduced sodium",fndd
低钠辣味香肠 Pepperoni,504.0,19.25,46.28,1.18,0.0,0.0,1.33,1187.0,98.0,"Pepperoni, reduced sodium",fndd
低钠酱油,57.0,9.05,0.3,5.59,0.7,0.5,1.35,3598.0,12.5,"Soy sauce, reduced sodium",fndd
低铁婴儿配方奶粉,66.0,1.43,3.6,6.9,0.0,6.58,0.44,15.0,30.5,"Infant formula, low iron",fndd
佛卡夏面包，意大利，原味,249.0,8.77,7.89,35.82,1.8,1.75,3.16,561.0,85.5,"Focaccia, Italian, plain",fndd
俄罗斯酱料,355.0,0.69,26.18,31.9,0.7,17.68,0.6,1133.0,44.0,Russian dressing,fndd
俱乐部三明治,234.0,15.99,10.55,18.43,0.8,2.47,1.52,814.0,145.0,"Club sandwich or sub, restaurant",fndd
俱乐部三明治 白面包 带奶酪,241.0,15.81,10.35,20.62,0.9,2.64,1.66,802.0,155.0,"Club sandwich on white, with cheese",fndd
假蟹沙拉,197.0,4.07,16.28,8.66,0.6,3.65,0.24,530.0,156.0,Crab salad made with imitation crab,fndd
儿童餐，意面,101.0,4.08,2.18,16.11,0.8,0.73,0.77,198.0,150.0,"Toddler meal, pasta",fndd
免糖非巧克力口味即食布丁,70.0,3.18,2.07,9.53,0.0,4.65,0.02,257.0,130.0,"Pudding, flavors other than chocolate, ready-to-eat, sugar free",fndd
兔肉,204.0,30.14,8.34,0.0,0.0,0.0,2.35,344.0,110.0,Rabbit,fndd
全脂复原奶粉,76.0,4.01,4.08,5.86,0.0,5.86,0.07,60.0,61.0,"Milk, dry, reconstituted, whole",fndd
全脂大豆粉,452.0,38.6,20.7,27.9,0.0,0.0,9.51,2.0,0.0,"Flour, soy, full-fat",foundation
全脂水果酸奶,106.0,3.34,3.86,14.43,0.2,10.31,0.07,41.0,170.0,"Yogurt, whole milk, fruit",fndd
全脂炼乳,134.0,6.81,7.56,10.04,0.0,10.04,0.19,106.0,31.5,"Milk, evaporated, NS as to fat content",fndd
全脂牛奶,57.666666666666664,3.2916666666666665,2.848333333333334,4.703333333333334,0.0,4.845,0.0,38.333333333333336,180.59375,"MILK, WHOLE ",foundation
全脂酸奶,0.0,3.824172,4.484,5.574928,0.0,0.0,0.0,41.78,0.0,"Yogurt, plain, whole milk",foundation
全脂酸奶油,0.0,0.0,17.835,0.0,0.0,0.0,0.0,37.05,0.0,"sour cream, full fat",foundation
全脂酸奶（原味）,78.0,3.82,4.4975000000000005,5.57,0.0,4.09,0.0,40.8625,170.0,"Yogurt, whole milk, plain",foundation
全脂酸奶（非水果口味）,95.0,3.28,3.88,11.76,0.0,10.5,0.0,36.0,170.0,"Yogurt, whole milk, flavors other than fruit",fndd
全蛋,0.0,0.0,10.25,0.0,0.0,0.0,1.755,121.5,0.0,Whole eggs,foundation
全蛋干制品,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Whole eggs dried,foundation
全蛋粉,0.0,0.0,39.1,0.0,0.0,0.0,7.0024999999999995,470.5,0.0,"Whole eggs, dried",foundation
全谷物华夫饼,421.0,8.64,26.94,36.15,3.5,7.57,3.49,855.0,57.5,"Waffle, whole grain, fast food / restaurant",fndd
全谷物华夫饼，冷冻,289.0,6.78,8.39,46.7,4.1,4.08,6.12,529.0,47.5,"Waffle, whole grain, frozen",fndd
全谷物小米,0.0,10.02177,4.4295,74.44623,2.737,0.0,2.652,0.0,0.0,"Millet, whole grain",foundation
全谷物意大利面配奶油酱加蔬菜，餐厅版,187.0,3.79,12.79,15.57,2.0,1.0,0.88,521.0,250.0,"Pasta, whole grain, with cream sauce, and added vegetables, restaurant",fndd
全谷物意大利面配奶油酱家禽调味食谱,152.0,6.42,7.44,16.28,2.0,0.74,0.99,251.0,250.0,"Pasta, whole grain, with cream sauce and poultry, home recipe",fndd
全谷物意大利面配番茄酱家禽肉，餐厅款,167.0,5.68,8.85,17.36,2.5,2.35,1.2,384.0,250.0,"Pasta, whole grain, with tomato-based sauce and poultry, restaurant",fndd
全谷物意面配奶油海鲜酱，即热型,160.0,5.82,8.55,16.19,2.0,0.73,1.1,397.0,250.0,"Pasta, whole grain, with cream sauce and seafood, ready-to-heat",fndd
全谷物意面配奶油海鲜酱，餐厅款,197.0,5.5,13.2,15.28,1.9,0.68,1.04,573.0,250.0,"Pasta, whole grain, with cream sauce and seafood, restaurant",fndd
全谷物意面配奶油肉酱，即热型,172.0,6.11,9.9,15.93,2.0,0.73,1.1,387.0,250.0,"Pasta, whole grain, with cream sauce and meat, ready-to-heat",fndd
全谷物意面配奶油肉酱，餐厅,209.0,5.76,14.48,15.03,1.9,0.68,1.05,564.0,250.0,"Pasta, whole grain, with cream sauce and meat, restaurant",fndd
全谷物意面配奶油酱和蔬菜，即热型,149.0,4.01,8.12,16.5,2.1,1.06,0.93,342.0,250.0,"Pasta, whole grain, with cream sauce, and added vegetables, ready-to-heat",fndd
全谷物意面配奶油酱家禽加蔬菜，餐厅版,192.0,5.9,12.45,15.35,2.0,0.88,0.96,516.0,250.0,"Pasta, whole grain, with cream sauce, poultry, and added vegetables, restaurant",fndd
全谷物意面配奶油酱肉和蔬菜，即热型,162.0,6.09,8.58,16.27,2.1,0.93,1.14,338.0,250.0,"Pasta, whole grain, with cream sauce, meat, and added vegetables, ready-to-heat",fndd
全谷物意面配奶油酱，即热型,163.0,4.04,9.74,16.09,2.0,0.81,0.89,402.0,250.0,"Pasta, whole grain, with cream sauce, ready-to-heat",fndd
全谷物意面配奶油酱，家庭食谱,150.0,4.13,8.11,16.44,2.0,0.82,0.9,268.0,250.0,"Pasta, whole grain, with cream sauce, home recipe",fndd
全谷物意面配奶油酱，餐厅款,200.0,3.81,14.32,15.18,1.9,0.76,0.84,578.0,250.0,"Pasta, whole grain, with cream sauce, restaurant",fndd
全谷物意面配番茄肉酱，家常做法,121.0,5.96,2.98,18.74,2.7,2.54,1.42,200.0,250.0,"Pasta, whole grain, with tomato-based sauce and meat, home recipe",fndd
全谷物意面配番茄酱加蔬菜，餐厅款,154.0,3.56,8.22,17.76,2.6,2.57,1.14,344.0,250.0,"Pasta, whole grain, with tomato-based sauce and added vegetables, restaurant",fndd
全谷物意面配番茄酱家禽肉，即热型,127.0,6.0,3.91,18.33,2.7,2.48,1.26,335.0,250.0,"Pasta, whole grain, with tomato-based sauce and poultry, ready-to-heat",fndd
全谷物意面配番茄酱海鲜蔬菜家庭食谱,106.0,5.72,1.49,18.77,2.7,2.33,1.38,172.0,250.0,"Pasta, whole grain, with tomato-based sauce, seafood, and added vegetables, home recipe",fndd
全谷物意面配番茄酱海鲜风味即热食品,122.0,5.55,3.38,18.59,2.7,2.48,1.39,346.0,250.0,"Pasta, whole grain, with tomato-based sauce and seafood, ready-to-heat",fndd
全谷物意面配番茄酱海鲜，餐厅,162.0,5.26,8.34,17.61,2.5,2.35,1.32,394.0,250.0,"Pasta, whole grain, with tomato-based sauce and seafood, restaurant",fndd
全谷物意面配番茄酱肉和蔬菜，即热型,133.0,5.88,4.62,18.1,2.6,2.28,1.36,299.0,250.0,"Pasta, whole grain, with tomato-based sauce, meat, and added vegetables, ready-to-heat",fndd
全谷物意面配番茄酱肉和蔬菜，餐厅款,172.0,5.57,9.52,17.14,2.5,2.16,1.29,349.0,250.0,"Pasta, whole grain, with tomato-based sauce, meat, and added vegetables, restaurant",fndd
全谷物意面配番茄酱肉酱，即热型,134.0,5.83,4.73,18.33,2.7,2.48,1.39,336.0,250.0,"Pasta, whole grain, with tomato-based sauce and meat, ready-to-heat",fndd
全谷物意面配番茄酱，即热型,116.0,3.7,3.38,19.05,2.8,2.97,1.24,340.0,250.0,"Pasta, whole grain, with tomato-based sauce, ready-to-heat",fndd
全谷物水果华夫饼，冷冻,278.0,6.48,8.02,45.06,4.0,4.28,5.83,504.0,47.5,"Waffle, whole grain, fruit, frozen",fndd
全谷物海鲜奶油意面，餐厅,187.0,5.48,11.95,15.59,2.0,0.88,1.08,526.0,250.0,"Pasta, whole grain, with cream sauce, seafood, and added vegetables, restaurant",fndd
全谷物通心粉或面条配奶酪,219.0,8.77,10.88,22.7,2.2,2.53,1.28,360.0,230.0,"Macaroni or noodles with cheese, whole grain",fndd
全麦低脂薄饼,256.0,8.04,9.89,33.65,3.3,7.05,3.22,738.0,35.0,"Pancakes, whole grain, reduced fat",fndd
全麦低脂饼干,444.0,9.34,13.37,71.52,3.4,15.01,5.02,776.0,31.5,"Crackers, wheat, reduced fat",fndd
全麦俱乐部三明治,220.0,15.98,7.65,21.38,2.4,2.56,1.76,765.0,130.0,Club sandwich on wheat,fndd
全麦俱乐部三明治配芝士,239.0,16.58,10.5,19.13,2.1,2.59,1.58,798.0,155.0,"Club sandwich on wheat, with cheese",fndd
全麦冷冻薄饼,232.0,5.54,6.75,38.55,2.3,8.08,5.82,447.0,60.0,"Pancakes, whole grain, frozen",fndd
全麦减脂华夫饼,257.0,7.14,3.57,49.16,4.3,4.29,6.43,557.0,47.5,"Waffle, whole grain, reduced fat",fndd
全麦华夫饼,364.0,9.23,19.21,38.61,3.8,8.09,3.71,847.0,57.5,"Waffle, whole grain",fndd
全麦厚底肉披萨,284.0,12.51,13.98,28.13,3.3,3.31,2.51,628.0,147.0,"Pizza, with meat, whole wheat thick crust",fndd
全麦厚底芝士披萨,265.0,11.4,10.4,32.96,3.9,3.75,2.73,548.0,139.0,"Pizza, cheese, whole wheat thick crust",fndd
全麦厚底芝士蔬菜比萨,231.0,9.67,9.29,28.74,3.5,3.56,2.67,498.0,155.0,"Pizza, cheese and vegetables, whole wheat thick crust",fndd
全麦夹心花生酱饼干,465.0,14.12,21.18,54.59,9.4,9.41,3.07,635.0,18.0,"Crackers, whole grain, sandwich, peanut butter filled",fndd
全麦意大利面，煮熟,148.0,5.95,1.7,29.89,3.9,0.75,1.71,235.0,140.0,"Pasta, whole grain, cooked",fndd
全麦意面配奶油海鲜酱，家常做法,147.0,5.95,6.89,16.55,2.0,0.74,1.12,262.0,250.0,"Pasta, whole grain, with cream sauce and seafood, home recipe",fndd
全麦意面配奶油肉酱，家常做法,160.0,6.24,8.27,16.28,2.0,0.74,1.12,252.0,250.0,"Pasta, whole grain, with cream sauce and meat, home recipe",fndd
全麦意面配奶油酱加蔬菜，家庭食谱,136.0,4.1,6.44,16.87,2.2,1.08,0.95,206.0,250.0,"Pasta, whole grain, with cream sauce, and added vegetables, home recipe",fndd
全麦意面配奶油酱家禽肉汁，即热型,165.0,6.28,9.09,15.93,2.0,0.73,0.97,386.0,250.0,"Pasta, whole grain, with cream sauce and poultry, ready-to-heat",fndd
全麦意面配奶油酱家禽肉，餐厅版,202.0,5.92,13.7,15.03,1.9,0.68,0.93,563.0,250.0,"Pasta, whole grain, with cream sauce and poultry, restaurant",fndd
全麦意面配奶油酱家禽蔬菜，即食型,154.0,6.26,7.76,16.27,2.1,0.93,1.01,337.0,250.0,"Pasta, whole grain, with cream sauce, poultry, and added vegetables, ready-to-heat",fndd
全麦意面配奶油酱肉加蔬菜，家常做法,149.0,6.22,6.92,16.63,2.2,0.95,1.16,202.0,250.0,"Pasta, whole grain, with cream sauce, meat, and added vegetables, home recipe",fndd
全麦意面配奶油酱肉加蔬菜，餐厅款,199.0,5.74,13.23,15.35,2.0,0.88,1.08,517.0,250.0,"Pasta, whole grain, with cream sauce, meat, and added vegetables, restaurant",fndd
全麦意面配番茄肉酱，餐厅,174.0,5.52,9.62,17.36,2.5,2.35,1.33,385.0,250.0,"Pasta, whole grain, with tomato-based sauce and meat, restaurant",fndd
全麦意面配番茄酱加蔬菜，即热型,114.0,3.76,3.25,18.76,2.8,2.72,1.2,294.0,250.0,"Pasta, whole grain, with tomato-based sauce and added vegetables, ready-to-heat",fndd
全麦意面配番茄酱家常做法,102.0,3.78,1.6,19.47,2.9,3.04,1.27,204.0,250.0,"Pasta, whole grain, with tomato-based sauce, home recipe",fndd
全麦意面配番茄酱家禽及额外蔬菜，即热型,125.0,6.05,3.8,18.1,2.6,2.28,1.23,298.0,250.0,"Pasta, whole grain, with tomato-based sauce, poultry, and added vegetables, ready-to-heat",fndd
全麦意面配番茄酱家禽及额外蔬菜，餐厅款,165.0,5.72,8.75,17.14,2.5,2.16,1.17,349.0,250.0,"Pasta, whole grain, with tomato-based sauce, poultry, and added vegetables, restaurant",fndd
全麦意面配番茄酱家禽肉酱料,113.0,6.14,2.15,18.74,2.7,2.54,1.29,199.0,250.0,"Pasta, whole grain, with tomato-based sauce and poultry, home recipe",fndd
全麦意面配番茄酱肉和蔬菜，家常做法,119.0,6.01,2.88,18.51,2.7,2.33,1.38,162.0,250.0,"Pasta, whole grain, with tomato-based sauce, meat, and added vegetables, home recipe",fndd
全麦意面配番茄酱，餐厅式,156.0,3.51,8.34,18.03,2.7,2.81,1.18,388.0,250.0,"Pasta, whole grain, with tomato-based sauce, restaurant",fndd
全麦意面，番茄酱加蔬菜，家庭食谱,99.0,3.84,1.47,19.18,2.9,2.78,1.22,157.0,250.0,"Pasta, whole grain, with tomato-based sauce and added vegetables, home recipe",fndd
全麦意面，番茄酱，家禽肉，加蔬菜，家庭食谱,111.0,6.18,2.04,18.51,2.7,2.33,1.25,161.0,250.0,"Pasta, whole grain, with tomato-based sauce, poultry, and added vegetables, home recipe",fndd
全麦汉堡包,269.0,12.38,4.38,44.93,6.1,5.92,2.42,477.0,52.0,"Roll, whole wheat, hamburger bun",fndd
全麦法式面包烤,263.0,9.15,1.14,53.96,4.6,0.0,0.82,412.0,29.0,"Bread, French or Vienna, whole wheat, toasted",fndd
全麦海鲜意面，含番茄酱和蔬菜，餐厅,160.0,5.3,8.24,17.39,2.5,2.16,1.29,359.0,250.0,"Pasta, whole grain, with tomato-based sauce, seafood, and added vegetables, restaurant",fndd
全麦海鲜番茄酱意面，即热型,120.0,5.59,3.27,18.36,2.6,2.28,1.35,309.0,250.0,"Pasta, whole grain, with tomato-based sauce, seafood, and added vegetables, ready-to-heat",fndd
全麦海鲜番茄酱意面，家庭食谱,108.0,5.67,1.6,19.01,2.7,2.54,1.41,210.0,250.0,"Pasta, whole grain, with tomato-based sauce and seafood, home recipe",fndd
全麦海鲜蔬菜奶油意面，家庭食谱,136.0,5.93,5.54,16.89,2.2,0.95,1.15,212.0,250.0,"Pasta, whole grain, with cream sauce, seafood, and added vegetables, home recipe",fndd
全麦火腿三明治,185.0,13.96,3.86,23.62,2.8,,,,,,
全麦热狗面包,269.0,12.38,4.38,44.93,6.1,5.92,2.42,477.0,45.0,"Roll, whole wheat, hot dog bun",fndd
全麦玉米饼,310.0,9.76,9.76,45.89,9.8,2.44,2.63,617.0,56.0,"Tortilla, whole wheat",fndd
全麦玛芬,372.0,6.92,18.03,45.7,1.8,19.9,2.17,389.0,70.0,"Muffin, whole grain",fndd
全麦白汉堡包,255.0,9.3,3.49,46.5,2.3,9.3,2.59,512.0,52.0,"Roll, whole grain white, hamburger bun",fndd
全麦白热狗面包,255.0,9.3,3.49,46.5,2.3,9.3,2.59,512.0,45.0,"Roll, whole grain white, hot dog bun",fndd
全麦白贝果,250.0,10.2,1.53,48.89,4.1,6.12,2.76,439.0,87.0,"Bagel, whole grain white",fndd
全麦白面包,238.0,10.66,2.15,43.91,9.2,5.0,4.89,450.0,30.0,"Bread, whole grain white",fndd
全麦白面包，烤,262.0,11.71,2.36,48.25,10.1,5.5,5.37,495.0,27.5,"Bread, whole grain white, toasted",fndd
全麦皮塔面包,262.0,9.8,1.71,55.89,6.1,2.87,3.06,421.0,57.0,"Bread, pita, whole wheat",fndd
全麦硬面包棒,425.0,15.08,10.98,67.9,7.1,3.29,4.63,577.0,12.0,"Breadsticks, hard, whole wheat",fndd
全麦肉夹蛋三明治,266.0,12.86,15.8,17.99,2.1,2.3,2.04,439.0,155.0,"Egg sandwich on wheat bread, with meat",fndd
全麦肉蛋奶酪三明治,277.0,13.75,17.29,16.46,1.8,2.36,1.85,506.0,180.0,"Egg sandwich on wheat bread, with meat and cheese",fndd
全麦英式玛芬,223.0,8.7,2.0,44.8,4.6,1.56,2.87,353.0,58.0,"Muffin, English, wheat bran",fndd
全麦英式马芬,223.0,8.7,2.0,44.8,4.6,1.56,2.87,353.0,58.0,"Muffin, English, whole grain white",fndd
全麦葡萄干吐司,319.0,9.48,4.55,61.92,7.2,21.41,2.44,528.0,27.5,"Bread, whole wheat, with raisins, toasted",fndd
全麦葡萄干英式马芬,231.0,8.16,1.82,48.25,4.6,7.92,2.76,320.0,58.0,"Muffin, English, wheat bran, with raisins",fndd
全麦葡萄干贝果,255.0,9.51,1.4,51.93,4.1,12.03,2.66,398.0,87.0,"Bagel, whole wheat, with raisins",fndd
全麦葡萄干面包,290.0,8.63,4.14,56.35,6.5,19.48,2.22,480.0,30.0,"Bread, whole wheat, with raisins",fndd
全麦葡萄英式玛芬,230.0,8.21,1.84,47.94,4.6,7.34,2.77,323.0,58.0,"Muffin, English, whole wheat, with raisins",fndd
全麦蔬菜三明治,119.0,4.67,2.25,20.14,2.7,3.95,1.67,370.0,165.0,Vegetable sandwich on wheat,fndd
全麦蔬菜三明治加芝士,146.0,6.46,5.24,18.42,2.4,3.82,1.53,443.0,185.0,"Vegetable sandwich on wheat, with cheese",fndd
全麦薄底肉披萨,289.0,13.05,16.35,23.58,2.9,3.09,2.19,641.0,159.0,"Pizza, with meat, whole wheat thin crust",fndd
全麦薄脆奶酪比萨,267.0,11.77,12.38,28.62,3.5,3.59,2.4,543.0,151.5,"Pizza, cheese, whole wheat thin crust",fndd
