description_en,description_zh
FRENCH BREAD,法式面包
"FRIED ONION RING POTATO CRISPS, FRIED ONION",洋葱圈薯片，油炸洋葱味
FRUIT ON THE BOTTOM COTTAGE CHEESE,果底农家奶酪
GINSENG AND HONEY GREEN TEA,人参蜂蜜绿茶
"GINSENG AND HONEY GREEN TEA, GINSENG AND HONEY",人参蜂蜜绿茶，人参蜂蜜口味
"GOURMET MAYAN SUPERFOOD CACAO POWDER, CACAO","玛雅高级超级食品可可粉, 可可"
GRAIN FREE CHIPOTLE BBQ TORTILLA CHIPS,无谷物辣椒烧烤玉米片Chipotle BBQ口味
HOMESTYLE SAUERKRAUT,家庭风味酸菜
HOT CHICKEN WING SAUCE,辣鸡翅酱
HOT CHOCO LATE,热巧克力
"HOT CHOCO LATE, ORANGE",热巧克力，橙味
Hillshire Farm Hearty Turkey & Cheddar Wedge,希尔希农场丰盛火鸡切达三角楔堡
"ITALIAN SAUSAGE GARLIC & ROMANO SAUCE,  ITALIAN SAUSAGE",意大利香肠蒜味罗马诺酱口味
Immaculate Baking Pumpkin Spice Cinnamon Rolls With Icing 5 Count,南瓜肉桂卷带糖霜5个装(Immaculate Baking)
"JAM, PEACH MANGO HABANERO",辣椒哈巴内罗桃芒酱
JUICE COCKTAIL FROM CONCENTRATE,浓缩果汁鸡尾酒
"JUICE COCKTAIL FROM CONCENTRATE, APPLE",苹果浓缩果汁鸡尾酒
KETO FRIENDLY CHOCOLATE MINT SANDWICH COOKIES,巧克力薄荷三明治饼干（卡图友好）
"KETO FRIENDLY CHOCOLATE MINT SANDWICH COOKIES, CHOCOLATE; MINT",低碳巧克力薄荷夹心饼干，巧克力味；薄荷味
"KETTLE COOKED CRACKED PEPPER & SEA SALT FLAVORED POTATO CHIPS, PEPPER; SEA SALT","裂纹黑胡椒海盐味薯片,KETTLE COOKED CRACKED PEPPER & SEA SALT FLAVORED POTATO CHIPS, PEPPER; SEA SALT"
KETTLE COOKED MESQUITE BBQ FLAVORED POTATO CHIPS,烟熏烧烤味锅煮土豆片(KETTLE COOKED MESQUITE BBQ FLAVORED POTATO CHIPS)
"KETTLE COOKED MESQUITE BBQ FLAVORED POTATO CHIPS, MESQUITE BBQ",烟熏烧烤味烤薯片，凯特乐牌
Kellogg's Sultana Bran Buds 450g,Kellogg's葡萄干全麦粒450g
"LIGHTLY SALTED BARBECUE FLAVORED POTATO CHIPS, BARBECUE","轻度盐味烧烤味土豆片, 烧烤味"
LINGUINE ENRICHED MACARONI PRODUCT,意大利面（LINGUINE）增强型通心粉产品
LITE EXPORT SODAS CRACKERS,轻出口苏打饼干
"LITE EXPORT SODAS CRACKERS, LITE",轻量出口苏打饼干，轻量版
LOW CARB TRADITIONAL STYLE WHITE FLOUR WRAP,低碳传统风格白面饼卷
LOW MOISTURE PART SKIM MOZZARELLA STRING CHEESE,低水分部分脱脂马苏里拉干酪棒
MANZANILLA OLIVES PIMIENTOS & CAPERS ALCAPARRADO,橄榄（曼萨尼拉）与辣椒及刺山柑花蕾混合装（ALCAPARRADO）
MAPLE  PORK SAUSAGE LINKS,枫叶猪肉香肠串
 MARSHMALLOW MICE,棉花糖老鼠 MARSHMALLOW MICE
" MEDITERRANIAN PASTA AEGEAN SALAD, 12 OZ",地中海爱琴海沙拉意面，12盎司
 MEDIUM CHUNKY SALSA,中等块状莎莎酱
 MEXICAN MOCHA WITH CHOCOLATE BITS INCLUSIONS COFFEE,墨西哥摩卡巧克力碎片咖啡
" MEXICAN MOCHA WITH CHOCOLATE BITS INCLUSIONS COFFEE, MOCHA",墨西哥摩卡咖啡，含巧克力碎片口味摩卡
 MINI MARIA COOKIES,迷你玛丽亚饼干
 MINIS GARDEN SALSA FLAVORED WHOLE GRAIN SNACKS,全谷物MINIS GARDEN莎莎味零食
 Mexican Original 12 Inch White Heat Pressed Flour Tortillas,墨西哥原味12英寸白面热压饼皮
 NO. 22 MEMPHIS-STYLE SWEET SMOKY BARBEQUE SAUCE,Memphis风甜蜜烟熏烧烤酱
 NUTS & SEEDS,坚果与种子
" ORGANIC BEET + CHERRY JUICE, BEET; CHERRY",有机甜菜+樱桃汁，甜菜；樱桃口味
 ORGANIC BENGAL GRAM SPLIT CHANA DAL,有机孟加拉鹰嘴豆分裂菜豆Dal
 ORIGINAL GARLIC PICKLES,原味蒜头腌菜
" ORIGINAL GARLIC PICKLES, GARLIC","原味蒜头腌菜, 蒜味"
 ORIGINAL ICED W/ MILK CAPPUCCINO,原味冰牛奶卡布奇诺
 ORIGINAL SEASONING,原味调味料
 PEPPER JACK NATURAL CHEESE,辣椒杰克天然奶酪
 PEPPERMINT MOCHA CREAMED COLD BREW COFFEE,薄荷摩卡奶油冰滴咖啡
 PIZZA TURNOVERS EMPANADILLAS,煎饼比萨卷（EMPANADILLAS）
 POLAR BEAR MIX ASSORTED CHOCOLATE CONFECTIONS,北极熊混合口味巧克力糖果
" POMEGRANATE CHERRY SPARKLING SELTZER WATER, POMEGRANATE; CHERRY",石榴樱桃气泡水，石榴；樱桃口味
 PREMIUM GELATO SWIRLS,高级意式冰淇淋旋风
" PREMIUM GELATO SWIRLS, BROWNIE FUDGE",布朗尼芝士蛋糕口味高级意式手工冰淇淋卷
 PREMIUM TEA BAGS,高级茶包
" PREMIUM TEA BAGS, ENGLISH BREAKFAST",红茶包，英式早餐高级版
" PUMPKIN CARAMEL APPLE MILK CHOLOCOLATE, PUMPKIN; CARAMEL APPLE",南瓜焦糖苹果牛奶巧克力味南瓜;焦糖苹果味
 RAW ORGANIC HONEY,有机生蜂蜜
" RAW ORGANIC HONEY, WILDFLOWER",野生花有机生蜂蜜
" RAW UNFILTERED SOUTHERN CALIFORNIA HONEY, BUCKWHEAT","荞麦未过滤生蜜，南部加利福尼亚州产RAW UNFILTERED SOUTHERN CALIFORNIA HONEY, BUCKWHEAT"
 RUFFLES KETTLE COOKED ALL DRESSED FLAVORED POTATO CHIPS,薯愿调味波纹薯片（全部调味）
" SANDWICH BREAD, WHITE",白面包三明治面包
 SAUCE INCLUDED STIR FRY KIT PAD THAI,泰式炒河粉套餐（含酱料）
 SAUSAGE & CHEESE OMELETS,香肠芝士煎蛋卷
" SAUSAGE, EGG & CHEESE CASSEROLE BITES",肉肠蛋芝士烩小吃
" SELTZER, CRANBERRY CIDER",草莓苹果汽水（赛尔策牌）
 SHAVED AGED ASIAGO CHEESE,Asiago奶酪片（SHAVED AGED ASIAGO CHEESE）
 SILKY SMOOTH TRUFFLE HEARTS ,松露心形巧克力
" SILKY SMOOTH TRUFFLE HEARTS , MILK CHOCOLATE",松露心形巧克力，牛奶巧克力口味
 SLOPPY BOUDREAUX,波德雷奥斯汉堡排
" SPARKLING SPRING WATER, NATURAL ORANGE","气泡橙味天然泉水Sparkling Spring Water, Natural Orange -> 气泡橙味泉水 Sparkling Orange Spring Water"
" SPICY SWEET CHILI FLAVORED TORTILLA CHIPS, SPICY SWEET CHILI","辣甜辣椒味玉米片, 辣甜辣椒味"
 SPIRULINA SUPER CRISPS,螺旋藻超级脆片
 STONE GROUND  MUSTARD,石磨芥末酱
 SUPERFOOD BAR ,超级食品能量棒
" SUPERFOOD BAR , PUMPKIN SEED, DARK CHOCOLATE",南瓜子黑巧克力能量棒
" TAKE & BAKE LARGE CLASSIC PEPPERONI PIZZA, PEPPERONI","经典大号辣味香肠披萨,佩珀罗尼 Pepperoni"
 THIN WHEAT THE SUPER SNACK CRACKER,薄麦超级零食饼干
 TOMATO BASIL  PASTA SAUCE,番茄罗勒意面酱
" TRADITIONAL LIGHT SOUP, VEGETABLE BARLEY, VEGETABLE BARLEY",蔬菜大麦汤
 TRI-COLOR PEARL COUSCOUS,三色珍珠粗麦粉
 TRIPLE LAYER CHOCOLATE FUDGE CAKE,三层巧克力软糕
" Tyson Red Label Fully Cooked Unbreaded Fajita Seasoned Chicken Breast Strips, Small ","泰森红标已熟无面包屑辣椒烤鸡胸肉条,小份"
 UNPEELED APRICOT HALVES,无核半干杏肉
" VANILLA CREAM MEAL REPLACEMENT SMOOTHIE MIX, VANILLA","香草奶油代餐奶昔混合粉，香草味>VANILLA CREAM MEAL REPLACEMENT SMOOTHIE MIX, VANILLA>香草奶油代餐奶昔粉（香草味）"
 VEGGIE TRICOLOR ROTINI PASTA,蔬菜三色螺旋面
 VERMONT MAPLE SYRUP FULLY COOKED BREAKFAST SAUSAGE,枫糖熟制早餐香肠
" VERMONT MAPLE SYRUP FULLY COOKED BREAKFAST SAUSAGE, VERMONT MAPLE SYRUP",枫糖熟制早餐香肠，佛蒙特枫糖浆口味
" WHOLE GRAIN BREAD, SWEETENED WITH HONEY & MOLASSES",全谷物面包，加蜂蜜和糖蜜甜味
 WHOLE LARGE HEARTS IN BRINE ARTICHOKES,腌整颗大心洋蓟 Whole Large Hearts in Brine Artichokes
 Whole eggs,全蛋
" Whole eggs, dried",全蛋粉
" ZERO CALORIE SPORTS DRINK, FRUIT PUNCH",零卡路里运动饮料，水果宾治风味
" ZERO-CALORIE SODA, CITRUS",零卡汽水，柠檬味
"!AJUA!, CAFFEINE FREE SODA, MANDARIN ORANGE",阿瓜！无咖啡因汽水，蜜柑橙味
"!AJUA!, CAFFEINE FREE SODA, PINEAPPLE",阿瓜！无咖啡因碳酸饮料，菠萝味
"!AJUA!, CAFFEINE FREE SODA, TUTTI FRUITTI FRUIT PUNCH",阿爵牌无咖啡因汽水， tutti frutti果味冲饮
"!HOLLA NOLLA!, BON TEMPS!, REAL RESTAURANT TORTILLA CHIPS","墨西哥玉米片（!HOLLA NOLLA!, BON TEMPS!, REAL RESTAURANT）"
"!LUCHA GRANDE! CANDY, GUAVA, MANGO CHILE","辣椒味番石榴芒果 ""!LUCHA GRANDE!"" 糖果"
""" A LATE ONE"" SOFT DRINK",软饮料“迟到一号”
"""""ALLA NORMA"""" WITH EGGPLANT & RICOTTA SALATA",茄子与瑞科塔萨拉特奶酪阿辣诺尔玛意面
"""""BACN,BITS,FC,FINE,FL,2/5#""""",熟培根碎粒.FC细腻风味.分割2/5#
"""""BACN,CAND,FL,4PC, Z""""",培根糖霜甜甜圈，4件装，Z口味
"""""BACN,CHIPS,DICED,FC,FL,2/5#""""",巴恩切片薯条，油炸，风味涂层，2/5#
"""""BACN,DICED,RDY TO COOK,3/10#,Z""""","熟烤猪肉丁,BACN,DICED,RDY TO COOK,3/10#,Z"
"""""BACN,HRI,DBLSMK,GM,14/18,GF,15#,Z""""","培根,火烤,双重烟熏,大块,14/18规格,无麸质,15号, Z口味"
"""""BACN,HRI,DBLSMK,GM,18/22,GF,15#,Z""""",培根汉堡肉饼，双份熏烤，大麦，18/22规格，无麸质，15号包装，Z型号
"""""BACN,HRI,DBLSMK,SM,14/18,30#,Z""""","培根,火烤,双重熏烤,蜜味,14/18号片,30片装,Z口味"
"""""BACN,HRI,NW-SM,14/18,GF,15#""""",培根，烤，西北风味，14/18规格，无麸质，15号批次
"""""BACN,HRI,SM,18/22,15#,Z""""",培根，烟熏，中片，15号规格，Z加工
"""""BACN,HRI,SM,FL,14/18,10#,Z""""",培根片，熏烤，辣味，薄片，14-18片/包，10号规格，Z切割。
"""""BACN,PIECES,FC,FL,2/5#""""",烟熏培根片，生切，福乐鸡块型，冷冻，2.5盎司装
"""""BACN,SLAB,FL,11/13 DRIN,2PC,Z""""","腌制培根片,厚切,风干,2片装,Z口味"
"""""BACN,SLAB,SLCD,MR,10/14,30#,Z""""","烟熏厚切培根,SLAB,SLCD,MR,10/14,30#,Z型号"
"""""BACN,SLAB,SLCD,MR,14/18,30#,Z""""","培根,厚片,生切,中等熟度,14/18英寸,30磅,Z等级"
"""""BACN,SLAB,SLCD,MR,18/22,30#,Z""""",烟熏厚片培根肉-Z规格MR品牌18/22瘦度30#加工等级
"""""BACN,SLCD,SMKD,BULK,10#,Z""""","烟熏五花肉块,SLCD,SMKD,BULK,10#,Z牌"
"""""BACN,SS,BM,18/22,15#,Z""""","培根，炙烤，原味，规格18/22,15#，Z型号"
"""""BACN,SS,NW-SM,14/18,15#""""","烟熏培根NW-SM,14/18,15#口味"
"""""BACN,SS,SM,14/18,15#,Z""""",烟熏培根片，14/18厚度，15号切片，Z口味加工
"""""BACN,SS,SM,22/26,15#,Z""""",烟熏培根，切片，小片，规格22/26，15号，Z加工
"""""BEEF 'N BURGER"""" SEASONING MIX, """"BEEF 'N BURGER""""","牛肉汉堡调味料,""BEEF 'N BURGER"""
"""""BEEF,GRND,CHUCK,PTY,20/8OZ,FBAB-GM,10#,Z""""",牛肉碎，Chuck部位，20/8盎司，烧烤风味，10号包装
"""""BEEF,GRND,CHUCK,PTY,27/6OZ,FBAB-GM,10#,Z""""",牛肉碎，Chuck部位，塑封，27/6盎司，F BAB-GM，10#，Z口味
"""""BEEF,GRND,CHUCK,PTY,30/5.33OZ,FBAB-GM,10""""",牛肉碎，Chuck部位，塑封，30/5.33盎司，FBAB-GM，10件装
"""""BEEF,GRND,CHUCK,PTY,40/4OZ,FBAB-GM,10#,Z""""",牛肉馅，查克部位，40%脂肪，烧烤用，10磅装
"""""BEEF,GRND,PTY,27/6OZ,FBAB-SM,10#,Z""""",碎牛肉饼，27%脂肪，6盎司，烧烤味，小型，10片装
"""""BEEF,GRND,PTY,30/5.33OZ,FBAB-SM,10#,Z""""",牛肉饼，平底锅烤，30/5.33盎司，FBAB-SM，10#，Z口味
"""""BEEF,GRND,PTY,40/4OZ,FBAB-SM,10#,Z""""",牛肉馅，40/4盎司，菲尔贝-斯梅尔，10号，Z加工
"""""BEER"""" CAN CHICKEN RUB",啤酒罐鸡调味料
"""""BKRIB,PK,LN,RC,MEATY,IB,12PC,Z""""",牛肉肋排柳编烤肉块，肉感丰富，12块装
"""""BKRIB,PK,LN,RC,MEATY,SKLS,IB,12PC,Z""""",肉感烧烤排骨12块装-Z型号
"""""C"""" LOAF",C面团面包
"""""CHEEZY"""" DILL",芝士莳萝口味
"""""CHOP,BI,CC,GM,6OZ,10#,Z""""",Chop Bi牌辣味烤鸡翅（6盎司）
"""""CHOP,BI,CC,GM,ET12,4OZ,10#,Z""""","Chop标比克辣鸡肉条，CC通用食品编码，GM通用磨坊，ET12编码，4盎司，10#编码，Z编码的辣鸡肉条（由于提供的英文名称包含编码和品牌简称，根据规则3和4，无法直接翻译出具体的口味或加工方式，故仅将品牌名音译并附加辣鸡肉条作为通用名称）。

由于提供的英文名过于简略且包含编码，不符合常规食品名称，以下为根据提供规则尽可能的翻译：
辣鸡肉条

请注意，此名称可能不完整或不准确，因为提供的英文名包含的编码和简写不足以确定具体食品。"
"""""CHOP,BI,CC,GM,ET12,5OZ,10#,Z""""",Chop Bi牌辣味鸡肉干切条，CC加工，GM ET12口味，5盎司，10#包装，Z型规格
"""""CHOP,BI,CC,PHSE,GM,ET12,12OZ,10#,Z""""",牛肉块，比翼，浓缩鸡汤，_PHASE_，甜玉米，_ET12_，12盎司，10号，Z口味
"""""CHOP,BI,CC,SM,ET12,4OZ,10#,Z""""","酱牛肉片(CHOP,BI,CC,SM,ET12,4OZ,10#,Z)"
"""""CHOP,BI,CC,SM,ET12,5OZ,10#,Z""""","酱烤猪排切片(CHOP,BI,CC,SM,ET12,5OZ,10#,Z)"
"""""CHOP,BI,CC,SM,ET12,6OZ,10#,Z""""","Chop标比克辣鸡柳 ET12风味,6盎司装,10号,Z加工"
"""""CHOP,BI,CC,SM,ET12,8OZ,10#,Z""""","抱歉，您提供的英文名称“CHOP,BI,CC,SM,ET12,8OZ,10#,Z”无法直接识别为具体的食品名称。它看起来像是一些编码或缩写，没有足够的信息来进行准确的翻译。如果可以提供更具体的食品英文名称，我将能够帮助您翻译。"
"""""CHOP,PK,BI,EC,BM,.5"""",10#,Z""""",猪肉块，烧烤味，半熟加工
"""""CHOP,PK,BNLS,GM,ET12,4OZ,10#,Z""""",鸡块，去皮，带骨，甘薯调味，12件装，4盎司，10号包装，Z型加工
"""""CHOP,PK,BNLS,GM,ET12,6OZ,10#,Z""""",鸡胸肉块，去皮，骨less，大块，真空包装12盎司装，10块，Z型规格
"""""CHOP,PK,BNLS,MISCUTS,10#,Z""""",鸡块，去骨，杂切，10号，Z规格
"""""CHOP,PK,BNLS,SM,ET20,4OZ,10#,Z""""",鸡胸肉块，去皮去骨，烧烤味，20%溶液，4盎司，10片装
"""""CRUNCH"""" LEMON MERINGUE CRISP LEMON NON-FAT GREEK YOGURT WITH CITRUS WHITE CHOCOLATE AND LEMON COOKIES","柠檬蛋白酥脆柠檬无脂希腊酸奶配柑橘白巧克力与柠檬饼干""CRUNCH""版"
"""""CRUNCH"""" LEMON MERINGUE CRISP LEMON NON-FAT GREEK YOGURT WITH CITRUS WHITE CHOCOLATE AND LEMON COOKIES, LEMON MERINGUE CRISP","柠檬蛋白酥脆柠檬无脂希腊酸奶配柑橘白巧克力和柠檬饼干,""CRUNCH""柠檬蛋白酥脆口味"
"""""CRUNCH"""" MIXED BERRY CRUMBLE NON-FAT GREEK YOGURT WITH BROWN SUGAR CRUMBLE, ROASTED ALMONDS AND DRIED CRANBERRIES","混合莓果碎低脂希腊酸奶配红糖碎、烤杏仁和干蔓越莓""CRUNCH""版"
"""""CRUNCH"""" MIXED BERRY CRUMBLE NON-FAT GREEK YOGURT WITH BROWN SUGAR CRUMBLE, ROASTED ALMONDS AND DRIED CRANBERRIES, MIXED BERRY CRUMBLE",混合莓果碎无脂希腊酸奶配红糖碎、烤杏仁和干蔓越莓，CRUNCH品牌混合莓果碎风味
"""""DARN GOOD"""" CHILI SOUP BOWL, """"DARN GOOD"""" CHILI","""DARN GOOD""辣椒汤碗,""DARN GOOD""辣椒酱"
"""""DARN GOOD"""" CHILI SOUP MIX, """"DARN GOOD"""" CHILI","""DARN GOOD"" 辣椒汤混合料,""DARN GOOD"" 辣椒酱"
"""""EUROPEAN STYLE"""" FRESH, RICH & SILKY BUTTER, """"EUROPEAN STYLE""""",欧洲风味新鲜丰富丝滑黄油
"""""EVERYTHING SNACKABLE EGGS & CRISPY DIP, """"EVERYTHING","全味可零食蛋与脆蘸酱,""EVERYTHING"""
"""""FRIED RICE"""" BOWL",炒饭碗
"""""FRIED RICE"""" CAULIFLOWER CRUMBLES CHOPPED CAULIFLOWER, CARROTS, CELERY, ONION & BROCCOLI IN A SWEET TERIYAKI SAUCE WITH GARLIC-GINGER WONTON STRIPS VEGGIE BOWL, CAULIFLOWER CRUMBLES",甜味照烧菜花饭团蔬菜碗，菜花碎
"""""FRIED RICE"""" PROTEIN PACK",炒饭蛋白套餐
"""""HAM,CKD,95WA,PD,4X6,4/13#""""","火腿,熟食,95%水分,切片,4x6,4/13#"
"""""HAM,CKD,96WA,CTRY LEAN,4X6,4/13#""""","火腿,熟食,96%瘦肉,4x6规格,4/13号片"
"""""HAM,H&W,CKD,FL,4X6,4/13#""""","火腿,H&W,熟食,熏制,4x6,4/13#风味"
"""""HAM,H&W30,SMKD,96FF,GM,10/12#,2PC""""",火腿，H&W30，熏制，96FF，大块，10/12号，2片装
"""""HAM,SMKD,BNLS,NJ,CLASSIC CURE,9/11#,2PC""""","烟熏火腿,经典腌制,9/11号,2片装"
"""""HAM,SMKD,BNLS,NJ,WH,AMER HEARTLAND,2PC""""",美式火腿，烟熏，去骨，纽泽西风味，白色，美国心土地牌，2片装
"""""HAM,SMKD,BNLS,WA,DELUXE LEAN,12/15#,2PC""""","火腿,烟熏,去骨,水牛城豪华瘦火腿,12至15磅,2片装"
"""""HAM,SMKD,BNLS,WA,DNR,SM,10/15#,2PC""""",烟熏去骨火腿，腌制，单片包装，10/15号，2片装
"""""HAM,SMKD,BNLS,WA,RND,BKFST,SM,9/14#,2PC""""","火腿,烟熏,去骨,水波,圆形,早餐,小份,9/14号,2片装"
"""""HAM,SMKD,CUBED,WA,3/8""""CUBES,2/5#,Z""""",熟熏火腿块，华氏3/8英寸方块，2/5号规格
"""""HAM,SMKD,FS,SH,2PC""""",烟熏火腿片，2片装
"""""HAM,SMKD,HKRY,NJ,PRESLCD,SMKHS RES,6PC""""",蜜汁烟熏火腿块，6件装
"""""HAM,SMKD,PIT,SH,2PC""""",烟熏烤猪排，2片装
"""""HAM,SMKD,PIT,WH,LEAN,FL,8/12#,2PC""""",烟熏白肉火腿，8/12号，两片装
"""""HAM,SPRL,NJ,HKRY,COOKS,(UFB),4PC""""","火腿,斯普尔,纽泽西风味,蜂蜜烤,厨师品牌,4片装"
"""""HAM,STK,SMKD,BI,WA,(UFB),FL,12PC""""","火腿, 肉块, 熏制, 比萨, 华夫, (超新鲜), 肉冻, 12片装"
"""""HAM,WA,HNY/BRWN SGR,PD,9/11,2PC""""",蜜汁火鸡火腿片，两片装
"""""HATCH"""" GREEN CHILE FIESTA MIX",哈奇绿辣椒节日混合食品
"""""HO-LOTTA"""" ALL PURPOSE SPICE, """"HO-LOTTA""""","""霍洛塔""万能香料"
"""""HOLAND STYLE"""" HERRING FILLET IN OIL, """"HOLAND STYLE""""","荷兰风味油浸鲱鱼鱼片""HOLAND STYLE"""
"""""HONOLULU BLUE"""" CREAM SODA","""火奴鲁鲁蓝""奶油苏打水"
"""""HOT AND SPICY"""" SWEET HEAT BARBECUE SAUCE, """"HOT AND SPICY"""" SWEET HEAT",辣味甜热烧烤酱，“辣味甜热”口味
"""""JULIE'S"""" SPINACH DIP",朱莉的菠菜蘸酱
"""""LN,BNLS,CC,CAN,BK,5/7,DRY,GM,VP,2PC,Z""""",辣味鸡块干拌面，贝纳颂咖啡味，5/7规格，干燥，转基因，素食，2块装，Z品牌
"""""LOW COUNTRY LOCO"""" HOT SAUCE, """"LOW COUNTRY LOCO""""","""洛卡乡村疯狂""辣酱"
"""""LUMBER JACK"""" CENTER-CUT SMOKED SAUSAGE, FRESH BUTTERMILK BISCUIT, EGG & CHEESE SUPER-SIZE SANDWICHES, """"LUMBER JACK""""","""木匠杰克""中心切熏香肠、新鲜黄油牛奶饼干、蛋及奶酪超大号三明治、""木匠杰克""版"
"""""MEMPHIS STYLE"""" BBQ RUB, """"MEMPHIS STYLE""""","孟菲斯风格烧烤粉, 孟菲斯风格"
"""""MEZZELUNE"""" SEMI CIRCULAR STUFFED PASTA, RAVIOLI",半圆形意面饺，瑞沃利尼(Mezzelune Ravioli)
"""""MILD BEAN AND BEEF BEAN AND BEEF WITH CHEESE AND MILD ROASTED GREEN CHILE BURRITO, """"MILD BEAN AND BEEF",墨西哥卷饼（辣味豆牛肉芝士绿辣椒）
"""""MILK"""" & COOKIES NON-DAIRY FROZEN DESSERT VANILLA WITH CHOCOLATE CHIP COOKIES, CHOCOLATE SANDWICH COOKIES AND CHOCOLATE COOKIE SWIRLS, """"MILK"""" & COOKIES","""牛奶""非乳制冷冻甜品 香草味搭配巧克力碎片饼干、巧克力夹心饼干及巧克力曲奇漩涡,""牛奶""与饼干牌"
"""""MILK"""" & COOKIES VANILLA WITH CHOCOLATE CHIP COOKIES, CHOCOLATE SANDWICH COOKIES AND CHOCOLATE COOKIE SWIRLS NON-DAIRY FROZEN DESSERT, """"MILK"""" & COOKIES","""牛奶""曲奇香草味巧克力豆曲奇、巧克力夹心曲奇和非乳制巧克力曲奇冰淇淋，""牛奶""与曲奇品牌系列"
"""""MORTGAGE LIFTER"""" BARBECUE SAUCE","""MORTGAGE LIFTER"" 烧烤酱"
"""""MORTGAGE LIFTER"""" PASTA SAUCE","""MORTGAGE LIFTER""意面酱"
"""""MORTGAGE LIFTER"""" PASTA SAUCE, FRESH MUSHROOM","""抵押贷款提升""蘑菇意面酱"
"""""MOTHER SAUCE"""" A SLOW-ROASTED BEEF & VEGETABLE BASED SAUCE, """"MOTHER SAUCE""""","""慢烤牛肉蔬菜母酱"""
"""""NO CHEESE"""" CHEESINESS GRAIN FREE PALEO PUFFS, """"NO CHEESE"""" CHEESINESS",无奶酪味无谷物古式薯片，无奶酪味
"""""NO CHEESE"""" CHEESINESS ORGANIC POPCORN, """"NO CHEESE"""" CHEESINESS",无芝有机爆米花，无芝味
"""""NORIMAKI"""" RICE CRACKER, """"NORIMAKI""""","海苔卷米饼(""NORIMAKI"" RICE CRACKER)"
"""""OLD FASHIONED"""" LIMBURGER PASTEURIZED PROCESS CHEESE SPREAD, LIMBURGER",老式林堡干酪涂抹酱
"""""ORIGINAL"""" MOOSE TRACKS CHURNED LIGHT ICE CREAM VANILLA LIGHT ICE CREAM WITH PEANUT BUTTER CUPS AND FAMOUS MOOSE TRACKS FUDGE, """"ORIGINAL"""" MOOSE TRACKS",原味摩尔轨迹轻冰淇淋，香草轻冰淇淋配花生杯和著名摩尔轨迹软糖
